,Unnamed: 0,Mystery_Data_X,Mystery_Data_Y,Modified,Index,Model
9632,9632,124.2831457,2386.677239,TRUE,2.352934268,TRUE
1199,1199,109.5037686,2285.23436,TRUE,2.252921682,TRUE
8839,8839,134.1334541,2342.659576,TRUE,2.164042561,TRUE
3096,3096,175.9062565,2105.150377,TRUE,1.858221098,TRUE
2397,2397,145.4809294,2064.730878,TRUE,1.417290508,TRUE
3432,3432,203.3952908,2021.175907,TRUE,1.237577788,TRUE
2207,2207,195.826858,2014.334913,TRUE,1.173449597,TRUE
3511,3511,129.9554687,1973.843823,TRUE,1.105635709,TRUE
1258,1258,221.0520249,1972.203741,TRUE,1.105635709,TRUE
1114,1114,174.4826285,1950.600423,TRUE,1.08084543,TRUE
5134,5134,117.4283686,1950.793031,TRUE,1.08084543,TRUE
4839,4839,100.3537698,1941.751016,TRUE,1.075030359,TRUE
336,336,190.5213071,1956.01849,TRUE,1.06358334,TRUE
7061,7061,92.36375646,1922.0696,TRUE,1.042154505,TRUE
7230,7230,120.392822,1498.744138,TRUE,1.028007776,TRUE
3309,3309,192.7788573,1866.111248,TRUE,1.027168057,TRUE
2122,2122,187.8795205,1572.845769,TRUE,1.026757544,TRUE
4995,4995,129.3814308,1500.864752,TRUE,1.024017262,TRUE
5786,5786,112.584778,1864.411402,TRUE,1.022897048,TRUE
1459,1459,106.8658284,1878.920794,TRUE,1.019959161,TRUE
5355,5355,180.0007299,1636.316496,TRUE,1.019427351,TRUE
9792,9792,148.6511689,1540.830573,TRUE,1.018160052,TRUE
2364,2364,98.06687826,1585.192206,TRUE,1.017504219,TRUE
4977,4977,90.57285314,1585.975194,TRUE,1.017504219,TRUE
5856,5856,147.6856797,1589.902713,TRUE,1.015293118,TRUE
3210,3210,144.4608169,1633.055473,TRUE,1.014484066,TRUE
5995,5995,119.6496324,1659.965314,TRUE,1.013699526,TRUE
4887,4887,138.0392149,1740.098055,TRUE,1.011278351,TRUE
2699,2699,197.4266096,1554.044697,TRUE,1.010745685,TRUE
6097,6097,110.6313037,1543.067825,TRUE,0.998867646,TRUE
7731,7731,146.1119276,1669.619522,TRUE,0.996675564,TRUE
3702,3702,119.7566319,1669.930135,TRUE,0.996675564,TRUE
9308,9308,173.7447159,1711.200114,TRUE,0.992935773,TRUE
3917,3917,118.0893234,1709.729168,TRUE,0.992935773,TRUE
8036,8036,187.5831753,1763.347271,TRUE,0.992152385,TRUE
3155,3155,114.5148474,1895.754854,TRUE,0.991866274,TRUE
5511,5511,121.5011058,1650.665167,TRUE,0.988107718,TRUE
3854,3854,65.64582481,1817.318418,TRUE,0.986017127,TRUE
2697,2697,115.1973957,1733.091029,TRUE,0.98579564,TRUE
4969,4969,148.9369612,1452.488936,TRUE,0.98237958,TRUE
6341,6341,168.3711817,1466.833004,TRUE,0.982315701,TRUE
9837,9837,143.4724648,1608.712812,TRUE,0.981493948,TRUE
4844,4844,144.6693469,1723.098676,TRUE,0.981430663,TRUE
2224,2224,154.0505138,1787.089073,TRUE,0.979118585,TRUE
2063,2063,106.9699978,1838.840802,TRUE,0.975590316,TRUE
612,612,142.7568386,1835.193504,TRUE,0.975590316,TRUE
3859,3859,111.4538165,1834.933309,TRUE,0.975590316,TRUE
3334,3334,129.6773843,1840.905774,TRUE,0.971850526,TRUE
8003,8003,106.6228637,1779.658115,TRUE,0.970519056,TRUE
6623,6623,230.0900048,1779.693277,TRUE,0.970519056,TRUE
1143,1143,160.0031064,1444.44218,TRUE,0.958873157,TRUE
3514,3514,113.5107694,1430.886276,TRUE,0.958873157,TRUE
6372,6372,103.1881641,1775.54953,TRUE,0.952269634,TRUE
2250,2250,150.196975,1427.312409,TRUE,0.949882644,TRUE
1996,1996,105.0285058,1427.677167,TRUE,0.949882644,TRUE
9901,9901,85.11717436,1441.059562,TRUE,0.945479558,TRUE
7480,7480,149.9552192,1417.622343,TRUE,0.928790693,TRUE
312,312,155.0651567,1417.065401,TRUE,0.927331739,TRUE
3949,3949,181.4546219,1381.192046,TRUE,0.892588298,TRUE
