,Unnamed: 0,Mystery_Data_X,Mystery_Data_Y,Modified,Index,Model
17693,17693,222.0092781,2790.960526,TRUE,3.074281788,TRUE
15446,15446,157.0170243,2708.347262,TRUE,2.785377496,TRUE
12288,12288,102.0576727,2617.077686,TRUE,2.622140602,TRUE
7278,7278,150.0533434,2532.008353,TRUE,1.986693774,TRUE
14863,14863,101.6582036,2501.466975,TRUE,1.879257182,TRUE
31995,31995,106.8224288,2414.067924,TRUE,1.683144214,TRUE
2994,2994,111.8513278,2345.193262,TRUE,1.596477953,TRUE
35557,35557,179.484486,2325.544734,TRUE,1.569527759,TRUE
23660,23660,138.7245781,2388.857923,TRUE,1.527128582,TRUE
26919,26919,113.0095467,2383.814712,TRUE,1.506303451,TRUE
29391,29391,143.1755461,2189.098619,TRUE,1.453037892,TRUE
7690,7690,110.6922525,2197.844074,TRUE,1.447292578,TRUE
17313,17313,154.1138058,2145.991171,TRUE,1.078457282,TRUE
21651,21651,192.9704681,2108.416791,TRUE,1.028894966,TRUE
26356,26356,154.4790521,2103.5308,TRUE,0.993491444,TRUE
9994,9994,124.4116415,2096.768051,TRUE,0.982960171,TRUE
30713,30713,159.6993898,2090.774599,TRUE,0.951723444,TRUE
12176,12176,135.5283819,2085.240455,TRUE,0.935243587,TRUE
7880,7880,100.3402086,2085.440885,TRUE,0.935243587,TRUE
16759,16759,141.0744669,2075.060011,TRUE,0.92986016,TRUE
26073,26073,156.3028347,2040.233292,TRUE,0.868221781,TRUE
4482,4482,187.9857745,2037.715423,TRUE,0.866272624,TRUE
20314,20314,109.6074262,2045.739411,TRUE,0.862956348,TRUE
35049,35049,144.2259118,2028.622221,TRUE,0.852163061,TRUE
18614,18614,119.4620636,2023.393162,TRUE,0.850268918,TRUE
29812,29812,195.7339488,2025.612661,TRUE,0.850268918,TRUE
18066,18066,176.6325837,1998.261439,TRUE,0.818531708,TRUE
5702,5702,125.2205636,1996.432925,TRUE,0.814712451,TRUE
25887,25887,90.14184188,1991.06766,TRUE,0.79270074,TRUE
39157,39157,92.15530164,1990.689715,TRUE,0.791978403,TRUE
17246,17246,151.4930434,1988.320847,TRUE,0.789389293,TRUE
29777,29777,122.0006224,1968.636087,TRUE,0.775869514,TRUE
38073,38073,137.2895388,1967.21855,TRUE,0.77472163,TRUE
2803,2803,210.7183998,1953.725071,TRUE,0.774191404,TRUE
18207,18207,118.0085075,1953.339796,TRUE,0.773610245,TRUE
7153,7153,160.8649237,1958.103628,TRUE,0.772530392,TRUE
23032,23032,131.5323734,1948.921042,TRUE,0.771311937,TRUE
10752,10752,89.10508906,1962.681507,TRUE,0.771116425,TRUE
4038,4038,108.0228378,1945.410498,TRUE,0.762524271,TRUE
26031,26031,126.2424626,1942.445681,TRUE,0.75868436,TRUE
25649,25649,119.0508615,1938.956089,TRUE,0.758139979,TRUE
24248,24248,103.8774783,1929.233476,TRUE,0.754129496,TRUE
2055,2055,147.6342977,1931.224636,TRUE,0.751461828,TRUE
10212,10212,147.6964571,1928.091587,TRUE,0.750942461,TRUE
36148,36148,146.8089992,1926.258113,TRUE,0.746955918,TRUE
38088,38088,120.6317521,1922.154182,TRUE,0.746815273,TRUE
28188,28188,234.4110595,1925.296293,TRUE,0.743620778,TRUE
11305,11305,129.7398805,1917.77737,TRUE,0.739166008,TRUE
9926,9926,119.3009981,1912.72911,TRUE,0.734478373,TRUE
11732,11732,186.5434462,1905.980386,TRUE,0.729666672,TRUE
27382,27382,132.9265667,1903.998259,TRUE,0.72626777,TRUE
27038,27038,121.0449024,1899.536606,TRUE,0.723016724,TRUE
25712,25712,118.5340222,1882.208159,TRUE,0.718921363,TRUE
37416,37416,176.7757839,1882.308054,TRUE,0.718921363,TRUE
927,927,130.2266041,1884.113725,TRUE,0.717997242,TRUE
6740,6740,126.482837,1877.245234,TRUE,0.715108598,TRUE
19907,19907,192.9406512,1872.175522,TRUE,0.714805953,TRUE
20901,20901,137.358299,1869.510454,TRUE,0.71143381,TRUE
30636,30636,131.395437,1854.99534,TRUE,0.710628071,TRUE
21139,21139,96.1345842,1861.671696,TRUE,0.709626126,TRUE
36067,36067,138.2691063,1860.99513,TRUE,0.709626126,TRUE
33230,33230,122.610751,1858.931113,TRUE,0.708969169,TRUE
14530,14530,129.0565464,1854.695492,TRUE,0.708409566,TRUE
3763,3763,106.0750704,1854.742649,TRUE,0.708409566,TRUE
3480,3480,85.04038465,1848.35781,TRUE,0.70478163,TRUE
12403,12403,197.3395188,1844.253472,TRUE,0.701774066,TRUE
33391,33391,113.4522345,1836.620201,TRUE,0.696632432,TRUE
33601,33601,145.7681066,1837.595144,TRUE,0.695486382,TRUE
39143,39143,124.1943571,1834.606813,TRUE,0.694506993,TRUE
15258,15258,189.0012728,1833.439745,TRUE,0.694390835,TRUE
9767,9767,144.1023071,1827.237344,TRUE,0.687914732,TRUE
17875,17875,198.4606926,1827.173916,TRUE,0.687914732,TRUE
31481,31481,106.4960676,1823.092973,TRUE,0.684035189,TRUE
9734,9734,195.4039303,1823.112031,TRUE,0.684035189,TRUE
8951,8951,88.7167246,1785.516748,TRUE,0.680643638,TRUE
28060,28060,113.9378154,1788.415925,TRUE,0.680165731,TRUE
39757,39757,180.9211343,1814.321656,TRUE,0.679538149,TRUE
9021,9021,177.8279229,1810.115353,TRUE,0.679258348,TRUE
24098,24098,101.9809516,1812.326035,TRUE,0.67904916,TRUE
23500,23500,146.3764556,1802.289584,TRUE,0.678706777,TRUE
52,52,179.6310412,1806.462,TRUE,0.678064992,TRUE
3881,3881,106.6397799,1791.927358,TRUE,0.677898838,TRUE
26052,26052,130.2236594,1791.218709,TRUE,0.67767663,TRUE
16932,16932,237.7904045,1803.132213,TRUE,0.677294241,TRUE
6979,6979,151.4874435,1793.128251,TRUE,0.676264094,TRUE
30953,30953,139.6742567,1800.029239,TRUE,0.676264094,TRUE
22325,22325,151.1260862,1794.638597,TRUE,0.676051518,TRUE
17445,17445,162.9688619,1779.471499,TRUE,0.673264583,TRUE
23710,23710,165.4649971,1776.543927,TRUE,0.667256002,TRUE
9458,9458,154.9369087,1775.736629,TRUE,0.665593877,TRUE
28337,28337,168.3429483,1769.98032,TRUE,0.660351424,TRUE
36056,36056,135.0316848,1764.871854,TRUE,0.656365243,TRUE
30329,30329,187.0464212,1760.056053,TRUE,0.65534177,TRUE
24945,24945,176.2803821,1760.124781,TRUE,0.65534177,TRUE
26592,26592,147.3425228,1753.951106,TRUE,0.655190269,TRUE
25132,25132,147.6101598,1762.799709,TRUE,0.655143025,TRUE
33518,33518,131.1136421,1762.745979,TRUE,0.655143025,TRUE
35590,35590,214.332499,1758.238901,TRUE,0.654932961,TRUE
18531,18531,142.4856577,1717.175566,TRUE,0.653683446,TRUE
10425,10425,148.183873,1718.081923,TRUE,0.653683446,TRUE
1975,1975,106.7240944,1718.452481,TRUE,0.653441849,TRUE
1076,1076,173.7560006,1733.978457,TRUE,0.65296487,TRUE
8105,8105,185.409917,1719.712592,TRUE,0.652793222,TRUE
1763,1763,137.0016946,1715.198482,TRUE,0.652553707,TRUE
2295,2295,139.8650145,1715.380903,TRUE,0.65216985,TRUE
1436,1436,127.2625891,1715.038102,TRUE,0.65216985,TRUE
21343,21343,111.1931451,1751.223734,TRUE,0.651935613,TRUE
20886,20886,211.914722,1738.050007,TRUE,0.651932386,TRUE
16897,16897,170.8436786,1740.484059,TRUE,0.651696943,TRUE
13565,13565,169.8042036,1745.748195,TRUE,0.651074074,TRUE
4892,4892,209.4163425,1712.443121,TRUE,0.650680181,TRUE
676,676,169.441486,1748.014109,TRUE,0.650564926,TRUE
39790,39790,135.6631423,1712.202151,TRUE,0.650442717,TRUE
24006,24006,169.4584798,1749.877133,TRUE,0.649943606,TRUE
19026,19026,173.1584994,1727.181991,TRUE,0.649801886,TRUE
35967,35967,154.2604375,1711.169656,TRUE,0.649724027,TRUE
35537,35537,201.5971343,1710.017898,TRUE,0.649021833,TRUE
21654,21654,148.3806905,1709.246034,TRUE,0.64878639,TRUE
11272,11272,140.4472837,1729.060037,TRUE,0.648231402,TRUE
20694,20694,88.69873523,1706.299381,TRUE,0.64810004,TRUE
22027,22027,154.9032805,1705.722198,TRUE,0.647866587,TRUE
38515,38515,233.3180944,1705.658869,TRUE,0.647866587,TRUE
31183,31183,141.1072036,1705.422583,TRUE,0.646859862,TRUE
38987,38987,119.8751222,1704.99255,TRUE,0.645877806,TRUE
12541,12541,194.0023647,1702.208939,TRUE,0.645839198,TRUE
27313,27313,155.7557878,1700.264334,TRUE,0.643096444,TRUE
15726,15726,158.2461759,1546.438681,TRUE,0.64281928,TRUE
17286,17286,81.73828227,1545.994617,TRUE,0.642655416,TRUE
725,725,129.784029,1547.537251,TRUE,0.642496364,TRUE
22725,22725,151.5359465,1699.86846,TRUE,0.642458924,TRUE
37755,37755,101.8411094,1687.319697,TRUE,0.640330218,TRUE
3674,3674,180.830306,1688.423816,TRUE,0.640330218,TRUE
16093,16093,63.42403567,1694.62725,TRUE,0.640112612,TRUE
1207,1207,188.4747427,1560.13131,TRUE,0.639810143,TRUE
3036,3036,114.3557502,1697.182841,TRUE,0.639746467,TRUE
38765,38765,144.6672634,1684.211584,TRUE,0.639535548,TRUE
25191,25191,150.0602853,1685.79045,TRUE,0.63926752,TRUE
994,994,133.9667443,1685.220647,TRUE,0.63926752,TRUE
8019,8019,169.2287,1556.013951,TRUE,0.639155389,TRUE
28104,28104,90.34844234,1541.143423,TRUE,0.639118135,TRUE
24995,24995,110.4741165,1551.234543,TRUE,0.638989382,TRUE
12848,12848,137.5049662,1566.685608,TRUE,0.638529448,TRUE
23904,23904,84.18925473,1566.456173,TRUE,0.638529448,TRUE
