,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,159.7625847,127.8587299,FALSE,FALSE,TRUE
1,159.1378956,164.7326466,FALSE,FALSE,TRUE
2,209.1296464,191.7016274,FALSE,FALSE,TRUE
3,71.54714223,114.0142903,FALSE,FALSE,TRUE
4,85.99753008,183.915043,FALSE,FALSE,TRUE
5,121.6228417,204.6251795,FALSE,TRUE,FALSE
6,198.7616643,219.0684385,FALSE,TRUE,FALSE
7,155.7175752,1137.152756,TRUE,TRUE,TRUE
8,113.9027096,101.7174858,FALSE,TRUE,FALSE
9,116.2527083,168.8391611,FALSE,FALSE,TRUE
10,146.3317828,164.0872304,FALSE,FALSE,TRUE
11,185.1252797,160.8567716,FALSE,FALSE,TRUE
12,136.7498917,186.0328183,FALSE,FALSE,TRUE
13,126.7963713,991.765208,TRUE,TRUE,TRUE
14,113.1654907,175.8612603,FALSE,FALSE,TRUE
15,150.2715498,178.8488394,FALSE,FALSE,TRUE
16,111.2401251,163.9962454,FALSE,FALSE,TRUE
17,101.2355094,175.1984058,FALSE,FALSE,TRUE
18,136.767877,186.633525,FALSE,FALSE,TRUE
19,197.2615734,195.3570052,FALSE,FALSE,TRUE
20,110.7759965,119.6965254,FALSE,FALSE,TRUE
21,145.0527221,1031.498425,TRUE,TRUE,TRUE
22,145.6530118,95.92617454,FALSE,TRUE,FALSE
23,100.0165824,,TRUE,TRUE,TRUE
24,214.4089096,,TRUE,TRUE,TRUE
25,102.2130741,690.4566302,TRUE,TRUE,TRUE
26,132.1605879,901.9305819,TRUE,TRUE,TRUE
27,75.46826432,144.7087979,FALSE,FALSE,TRUE
28,119.5566886,170.5023179,FALSE,FALSE,TRUE
29,144.8758748,163.6089328,FALSE,FALSE,TRUE
30,126.8891224,380.7301231,TRUE,TRUE,TRUE
31,136.5114288,134.8759977,FALSE,FALSE,TRUE
32,74.24043472,437.8825084,TRUE,TRUE,TRUE
33,116.5971719,135.5144911,FALSE,FALSE,TRUE
34,152.3051486,200.6598393,FALSE,TRUE,FALSE
35,108.2232002,114.8723388,FALSE,FALSE,TRUE
36,126.7563764,179.3334527,FALSE,FALSE,TRUE
37,202.3124804,181.5361527,FALSE,FALSE,TRUE
38,181.0738318,142.4623902,FALSE,FALSE,TRUE
39,98.01149024,129.9123382,FALSE,FALSE,TRUE
40,86.51055599,141.1119219,FALSE,FALSE,TRUE
41,104.5288397,771.8084771,TRUE,TRUE,TRUE
42,174.4063543,210.7422211,FALSE,TRUE,FALSE
43,134.4688454,,TRUE,TRUE,TRUE
44,142.5699358,166.7232605,FALSE,FALSE,TRUE
45,89.27228131,,TRUE,TRUE,TRUE
46,174.4571194,172.955531,FALSE,FALSE,TRUE
47,151.6839399,177.7190226,FALSE,FALSE,TRUE
48,61.81517548,612.5205003,TRUE,TRUE,TRUE
49,108.298672,106.6450813,FALSE,TRUE,FALSE
50,92.70953619,93.62171094,FALSE,TRUE,FALSE
51,129.3493328,107.1125682,FALSE,TRUE,FALSE
52,179.6310412,1806.462,TRUE,TRUE,TRUE
53,153.0829776,902.5331425,TRUE,TRUE,TRUE
54,122.8155982,159.0623822,FALSE,FALSE,TRUE
55,167.5086302,191.8322491,FALSE,FALSE,TRUE
56,97.7404207,404.8853738,TRUE,TRUE,TRUE
57,133.9383854,158.9113196,FALSE,FALSE,TRUE
58,117.6000821,1358.129825,TRUE,TRUE,TRUE
59,193.355362,144.9914235,FALSE,FALSE,TRUE
60,147.5487184,97.41370999,FALSE,TRUE,FALSE
61,152.1756535,1043.929321,TRUE,TRUE,TRUE
62,133.0200256,108.6266903,FALSE,TRUE,FALSE
