,Unnamed: 0,Mystery_Data_X,Mystery_Data_Y,Modified,Index,Model
32201,32201,132.7992825,4625.946634,TRUE,2.885390082,TRUE
21591,21591,175.2170639,3939.53721,TRUE,2.379728849,TRUE
8805,8805,90.29196909,4402.056462,TRUE,2.352934268,TRUE
16502,16502,147.6807727,4358.585282,TRUE,2.252921682,TRUE
28597,28597,148.9740977,3732.784359,TRUE,1.226629725,TRUE
20927,20927,147.9120569,3713.195737,TRUE,1.188280267,TRUE
36735,36735,150.0674353,3711.517271,TRUE,1.162501534,TRUE
17756,17756,164.0267906,3669.737386,TRUE,1.092364132,TRUE
19057,19057,138.6337875,3560.953328,TRUE,1.047157996,TRUE
20991,20991,138.4787794,3613.157225,TRUE,1.032821706,TRUE
8399,8399,147.6854215,3566.469642,TRUE,1.029895905,TRUE
38598,38598,166.2972099,3610.474702,TRUE,1.029861605,TRUE
24134,24134,122.4294876,3567.680126,TRUE,1.015293118,TRUE
25156,25156,138.4215425,3531.013107,TRUE,1.010868958,TRUE
16258,16258,101.2649347,3510.953353,TRUE,1.007046411,TRUE
31955,31955,209.5617037,3494.966155,TRUE,0.964345308,TRUE
28203,28203,81.14766353,3391.893156,TRUE,0.928306967,TRUE
17292,17292,214.535831,3382.764508,TRUE,0.913898911,TRUE
19440,19440,226.6337099,3342.960888,TRUE,0.888058939,TRUE
18533,18533,212.4186894,3349.061835,TRUE,0.880354288,TRUE
35972,35972,111.6669804,3349.317199,TRUE,0.880354288,TRUE
35716,35716,142.0303836,3306.244834,TRUE,0.841981052,TRUE
27254,27254,195.2794046,3286.676869,TRUE,0.819288036,TRUE
32022,32022,187.0148177,3250.720854,TRUE,0.791981707,TRUE
24202,24202,180.2439451,3242.072346,TRUE,0.791028412,TRUE
28943,28943,133.1085805,3240.732278,TRUE,0.791028412,TRUE
1372,1372,148.4910969,3196.297294,TRUE,0.769344067,TRUE
29707,29707,138.3230203,3212.026023,TRUE,0.769284734,TRUE
29199,29199,167.3887892,3206.098535,TRUE,0.764973219,TRUE
32173,32173,134.8050341,3205.616035,TRUE,0.764973219,TRUE
37154,37154,100.2412704,3180.785469,TRUE,0.761934332,TRUE
