,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,159.7625847,127.8587299,FALSE,FALSE,TRUE
1,159.1378956,164.7326466,FALSE,FALSE,TRUE
2,209.1296464,,TRUE,TRUE,TRUE
3,71.54714223,114.0142903,FALSE,TRUE,FALSE
4,85.99753008,335.915043,TRUE,TRUE,TRUE
5,121.6228417,,TRUE,FALSE,FALSE
6,198.7616643,869.0684385,TRUE,FALSE,FALSE
7,155.7175752,190.152756,FALSE,TRUE,FALSE
8,113.9027096,944.7174858,TRUE,FALSE,FALSE
9,116.2527083,168.8391611,FALSE,FALSE,TRUE
10,146.3317828,780.0872304,TRUE,FALSE,FALSE
11,185.1252797,671.8567716,TRUE,TRUE,TRUE
12,136.7498917,186.0328183,FALSE,FALSE,TRUE
13,126.7963713,1153.765208,TRUE,TRUE,TRUE
14,113.1654907,175.8612603,FALSE,TRUE,FALSE
15,150.2715498,746.8488394,TRUE,TRUE,TRUE
16,111.2401251,313.9962454,TRUE,FALSE,FALSE
17,101.2355094,944.1984058,TRUE,FALSE,FALSE
18,136.767877,,TRUE,TRUE,TRUE
19,197.2615734,195.3570052,FALSE,TRUE,FALSE
20,110.7759965,418.6965254,TRUE,FALSE,FALSE
21,145.0527221,,TRUE,FALSE,FALSE
22,145.6530118,,TRUE,FALSE,FALSE
23,100.0165824,106.6934721,FALSE,FALSE,TRUE
24,214.4089096,1146.752524,TRUE,FALSE,FALSE
25,102.2130741,623.4566302,TRUE,FALSE,FALSE
26,132.1605879,143.9305819,FALSE,FALSE,TRUE
27,75.46826432,1073.708798,TRUE,TRUE,TRUE
28,119.5566886,,TRUE,TRUE,TRUE
29,144.8758748,,TRUE,FALSE,FALSE
30,126.8891224,,TRUE,TRUE,TRUE
31,136.5114288,594.8759977,TRUE,TRUE,TRUE
32,74.24043472,924.8825084,TRUE,TRUE,TRUE
33,116.5971719,135.5144911,FALSE,TRUE,FALSE
34,152.3051486,,TRUE,TRUE,TRUE
35,108.2232002,114.8723388,FALSE,FALSE,TRUE
36,126.7563764,1386.333453,TRUE,FALSE,FALSE
37,202.3124804,181.5361527,FALSE,FALSE,TRUE
38,181.0738318,142.4623902,FALSE,FALSE,TRUE
39,98.01149024,129.9123382,FALSE,FALSE,TRUE
40,86.51055599,141.1119219,FALSE,FALSE,TRUE
41,104.5288397,121.8084771,FALSE,FALSE,TRUE
42,174.4063543,,TRUE,TRUE,TRUE
43,134.4688454,1121.291654,TRUE,FALSE,FALSE
44,142.5699358,,TRUE,FALSE,FALSE
45,89.27228131,1894.272207,TRUE,TRUE,TRUE
46,174.4571194,172.955531,FALSE,TRUE,FALSE
47,151.6839399,177.7190226,FALSE,FALSE,TRUE
48,61.81517548,,TRUE,FALSE,FALSE
49,108.298672,,TRUE,FALSE,FALSE
50,92.70953619,93.62171094,FALSE,FALSE,TRUE
51,129.3493328,,TRUE,FALSE,FALSE
52,179.6310412,771.4620004,TRUE,FALSE,FALSE
53,153.0829776,1424.533143,TRUE,TRUE,TRUE
54,122.8155982,,TRUE,TRUE,TRUE
55,167.5086302,,TRUE,FALSE,FALSE
56,97.7404207,162.8853738,FALSE,TRUE,FALSE
57,133.9383854,,TRUE,TRUE,TRUE
58,117.6000821,1505.129825,TRUE,TRUE,TRUE
59,193.355362,144.9914235,FALSE,FALSE,TRUE
60,147.5487184,,TRUE,FALSE,FALSE
61,152.1756535,324.9293206,TRUE,FALSE,FALSE
62,133.0200256,340.6266903,TRUE,FALSE,FALSE
63,137.8605212,148.4508256,FALSE,TRUE,FALSE
64,213.8883352,,TRUE,FALSE,FALSE
