,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,115.7470578,1408.258981,TRUE,TRUE,TRUE
1,129.2120702,,TRUE,FALSE,FALSE
2,107.2225766,131.4935575,FALSE,FALSE,TRUE
3,206.6829218,,TRUE,TRUE,TRUE
4,194.0504225,612.9311255,TRUE,TRUE,TRUE
5,151.4204042,147.1870818,FALSE,FALSE,TRUE
6,155.3728497,,TRUE,FALSE,FALSE
7,84.84081573,147.9567326,FALSE,FALSE,TRUE
8,96.73239392,1435.052696,TRUE,TRUE,TRUE
9,131.6127681,169.7640706,FALSE,FALSE,TRUE
10,129.659126,160.0438396,FALSE,FALSE,TRUE
11,92.13344868,1172.553542,TRUE,TRUE,TRUE
12,122.2007329,136.3992411,FALSE,FALSE,TRUE
13,113.9305287,155.9923648,FALSE,FALSE,TRUE
14,160.5223221,200.2273408,FALSE,FALSE,TRUE
15,185.4528214,206.7122919,FALSE,FALSE,TRUE
16,86.45119072,149.5233243,FALSE,FALSE,TRUE
17,74.09940507,155.1907883,FALSE,TRUE,FALSE
18,148.2597397,182.5548741,FALSE,FALSE,TRUE
19,141.8785467,162.116222,FALSE,FALSE,TRUE
20,151.425888,183.2966387,FALSE,FALSE,TRUE
21,125.4567877,134.06939,FALSE,FALSE,TRUE
22,111.0459525,,TRUE,FALSE,FALSE
23,147.5843908,216.7509403,FALSE,FALSE,TRUE
24,152.8514719,454.5298759,TRUE,TRUE,TRUE
25,183.9126675,1373.6934,TRUE,TRUE,TRUE
26,147.2093187,135.9577041,FALSE,FALSE,TRUE
27,208.7203363,172.0281004,FALSE,TRUE,FALSE
28,189.489259,207.9636791,FALSE,FALSE,TRUE
29,135.3539752,140.049651,FALSE,FALSE,TRUE
30,104.7516588,1021.149903,TRUE,TRUE,TRUE
31,133.6631489,107.2189029,FALSE,FALSE,TRUE
32,129.4852425,751.5462994,TRUE,TRUE,TRUE
33,203.1193847,1042.610775,TRUE,TRUE,TRUE
34,40.70279005,611.5882465,TRUE,TRUE,TRUE
35,130.3615546,1596.496659,TRUE,TRUE,TRUE
36,116.0808799,114.009529,FALSE,FALSE,TRUE
37,130.5962646,149.7460611,FALSE,FALSE,TRUE
38,118.178016,164.5697171,FALSE,FALSE,TRUE
39,214.5522962,1182.493415,TRUE,TRUE,TRUE
40,138.6206386,1082.088984,TRUE,TRUE,TRUE
41,124.9051243,1113.742584,TRUE,TRUE,TRUE
42,95.44908086,786.2874618,TRUE,TRUE,TRUE
43,161.8907533,180.9122131,FALSE,FALSE,TRUE
44,78.23792674,83.46491406,FALSE,TRUE,FALSE
45,136.5219196,182.608738,FALSE,FALSE,TRUE
46,122.0917593,1130.82377,TRUE,TRUE,TRUE
47,71.31552999,770.305954,TRUE,TRUE,TRUE
48,139.9618641,,TRUE,FALSE,FALSE
49,85.39491479,110.7791603,FALSE,FALSE,TRUE
50,141.1126821,,TRUE,FALSE,FALSE
51,114.3114624,,TRUE,FALSE,FALSE
52,131.11623,574.1349497,TRUE,TRUE,TRUE
53,121.9099047,159.3806486,FALSE,FALSE,TRUE
54,73.76803931,160.749388,FALSE,TRUE,FALSE
55,104.3884963,1639.421795,TRUE,TRUE,TRUE
56,116.9982766,138.252331,FALSE,FALSE,TRUE
57,147.3624923,108.0212599,FALSE,FALSE,TRUE
58,147.0808179,,TRUE,FALSE,FALSE
59,148.478822,704.1537458,TRUE,TRUE,TRUE
60,203.3523039,1349.956419,TRUE,TRUE,TRUE
61,87.78887668,,TRUE,TRUE,TRUE
62,125.780188,,TRUE,FALSE,FALSE
63,156.1119137,,TRUE,FALSE,FALSE
64,127.9589642,1006.575256,TRUE,TRUE,TRUE
65,146.420817,404.3948923,TRUE,TRUE,TRUE
66,116.6044397,160.6951785,FALSE,FALSE,TRUE
67,133.3728676,936.8950146,TRUE,TRUE,TRUE
68,121.6346496,713.4630875,TRUE,TRUE,TRUE
69,151.0995344,167.757634,FALSE,FALSE,TRUE
70,125.391834,198.8934805,FALSE,FALSE,TRUE
