,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,160.4982333,159.0248797,FALSE,TRUE,FALSE
1,183.1594673,160.843976,FALSE,FALSE,TRUE
2,138.6097081,571.5020649,TRUE,TRUE,TRUE
3,122.5108218,131.2606823,FALSE,TRUE,FALSE
4,160.2391875,717.5304827,TRUE,TRUE,TRUE
5,134.9062184,113.5092153,FALSE,TRUE,FALSE
6,107.0995427,112.6526493,FALSE,FALSE,TRUE
7,140.9677313,127.9742781,FALSE,FALSE,TRUE
8,147.7247941,145.0836487,FALSE,FALSE,TRUE
9,160.6671602,607.4364125,TRUE,TRUE,TRUE
10,150.5097557,111.791678,FALSE,FALSE,TRUE
11,124.2988639,160.5551584,FALSE,TRUE,FALSE
12,124.9817985,107.2172587,FALSE,TRUE,FALSE
13,106.7428555,129.2742735,FALSE,TRUE,FALSE
14,183.5315151,185.895182,FALSE,FALSE,TRUE
15,176.1222905,154.4110859,FALSE,TRUE,FALSE
16,150.1632393,93.74622529,FALSE,FALSE,TRUE
17,178.4473604,920.8566243,TRUE,TRUE,TRUE
18,160.1099261,152.7275166,FALSE,TRUE,FALSE
19,106.102767,87.21564593,FALSE,FALSE,TRUE
20,167.0274651,185.8928735,FALSE,TRUE,FALSE
21,151.5897823,125.6172492,FALSE,TRUE,FALSE
22,171.7227438,583.7175517,TRUE,FALSE,FALSE
23,101.8630972,127.9523071,FALSE,TRUE,FALSE
24,60.60851331,138.243564,FALSE,TRUE,FALSE
25,98.86487028,133.5368702,FALSE,FALSE,TRUE
26,131.7479375,137.0339496,FALSE,FALSE,TRUE
27,159.2812486,180.8843738,FALSE,FALSE,TRUE
28,112.124873,144.6616283,FALSE,TRUE,FALSE
29,119.2884966,1051.034761,TRUE,TRUE,TRUE
30,113.9053097,167.6822802,FALSE,FALSE,TRUE
31,133.8494831,139.0900036,FALSE,FALSE,TRUE
32,201.9986241,146.5239935,FALSE,TRUE,FALSE
33,143.7357332,123.4074588,FALSE,FALSE,TRUE
34,105.985245,,TRUE,TRUE,TRUE
35,137.1190178,169.8062256,FALSE,FALSE,TRUE
36,131.9780842,108.65443,FALSE,TRUE,FALSE
37,103.8514798,113.8155058,FALSE,TRUE,FALSE
38,164.1138106,126.4492599,FALSE,FALSE,TRUE
39,97.77070809,101.0911402,FALSE,FALSE,TRUE
40,120.368213,138.7749569,FALSE,FALSE,TRUE
41,134.2282433,84.26328287,FALSE,TRUE,FALSE
42,125.2136005,126.663593,FALSE,FALSE,TRUE
43,168.4937218,204.6119449,FALSE,FALSE,TRUE
44,155.5182334,106.3028636,FALSE,FALSE,TRUE
45,100.6245621,180.5708159,FALSE,FALSE,TRUE
46,124.2197162,137.7935396,FALSE,FALSE,TRUE
47,163.6271395,647.7711511,TRUE,FALSE,FALSE
48,136.9676552,853.0312378,TRUE,TRUE,TRUE
49,127.5781166,190.8746192,FALSE,FALSE,TRUE
50,85.62427989,551.1420088,TRUE,FALSE,FALSE
51,120.4901199,94.08928623,FALSE,FALSE,TRUE
52,97.61554157,684.2434627,TRUE,TRUE,TRUE
53,116.8012,101.867144,FALSE,FALSE,TRUE
54,144.9758762,113.0989019,FALSE,FALSE,TRUE
55,98.91938395,169.2897308,FALSE,FALSE,TRUE
56,130.9130501,885.5409876,TRUE,FALSE,FALSE
57,163.3162374,605.5426766,TRUE,FALSE,FALSE
58,164.2751007,157.9434316,FALSE,TRUE,FALSE
59,137.2579509,98.09263565,FALSE,FALSE,TRUE
60,107.2627086,110.0709808,FALSE,FALSE,TRUE
61,115.185207,159.8833664,FALSE,FALSE,TRUE
62,118.3067957,139.4556047,FALSE,FALSE,TRUE
63,130.8932272,417.3347104,TRUE,FALSE,FALSE
64,112.3995554,151.5003686,FALSE,FALSE,TRUE
65,130.5458903,670.9638885,TRUE,FALSE,FALSE
66,144.0454458,175.2111143,FALSE,TRUE,FALSE
67,155.5843417,171.4679998,FALSE,FALSE,TRUE
68,126.6471607,173.0896441,FALSE,FALSE,TRUE
69,175.6963025,121.0535166,FALSE,FALSE,TRUE
70,104.2397378,930.238165,TRUE,TRUE,TRUE
71,109.1618567,123.1203366,FALSE,FALSE,TRUE
72,175.0351129,139.116892,FALSE,FALSE,TRUE
73,171.5480917,137.955008,FALSE,FALSE,TRUE
74,177.9996352,145.2776459,FALSE,TRUE,FALSE
75,116.0942818,115.1835049,FALSE,TRUE,FALSE
76,129.0087312,,TRUE,TRUE,TRUE
77,143.9258939,130.1138703,FALSE,TRUE,FALSE
78,104.7813502,1210.76495,TRUE,TRUE,TRUE
79,98.33650692,156.9914788,FALSE,TRUE,FALSE
80,125.072499,105.7989372,FALSE,TRUE,FALSE
81,149.7254341,499.3587315,TRUE,FALSE,FALSE
82,128.7631089,96.6631197,FALSE,FALSE,TRUE
83,109.2183705,139.3616749,FALSE,FALSE,TRUE
84,147.0801398,99.80679924,FALSE,TRUE,FALSE
85,146.1232311,137.1517106,FALSE,FALSE,TRUE
86,131.7009791,1072.605209,TRUE,TRUE,TRUE
87,155.5992755,188.7043149,FALSE,TRUE,FALSE
88,102.2823728,182.7738505,FALSE,FALSE,TRUE
89,117.0666289,147.6599641,FALSE,FALSE,TRUE
90,124.2925309,160.2604243,FALSE,TRUE,FALSE
91,93.33451177,120.6923272,FALSE,TRUE,FALSE
92,125.2362296,167.4341543,FALSE,TRUE,FALSE
93,130.2349424,164.0450121,FALSE,FALSE,TRUE
94,135.2181275,128.9902415,FALSE,FALSE,TRUE
95,141.7779799,115.2115463,FALSE,FALSE,TRUE
96,134.1479359,,TRUE,TRUE,TRUE
97,129.9926012,178.7632664,FALSE,FALSE,TRUE
98,145.5279977,,TRUE,FALSE,FALSE
99,121.8872426,,TRUE,FALSE,FALSE
