,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,160.4982333,159.0248797,FALSE,FALSE,TRUE
1,183.1594673,160.843976,FALSE,TRUE,FALSE
2,138.6097081,383.5020649,TRUE,TRUE,TRUE
3,122.5108218,131.2606823,FALSE,FALSE,TRUE
4,160.2391875,159.5304827,FALSE,FALSE,TRUE
5,134.9062184,113.5092153,FALSE,FALSE,TRUE
6,107.0995427,112.6526493,FALSE,FALSE,TRUE
7,140.9677313,1864.974278,TRUE,TRUE,TRUE
8,147.7247941,626.0836487,TRUE,TRUE,TRUE
9,160.6671602,,TRUE,FALSE,FALSE
10,150.5097557,111.791678,FALSE,FALSE,TRUE
11,124.2988639,160.5551584,FALSE,FALSE,TRUE
12,124.9817985,784.2172587,TRUE,TRUE,TRUE
13,106.7428555,,TRUE,FALSE,FALSE
14,183.5315151,185.895182,FALSE,TRUE,FALSE
15,176.1222905,154.4110859,FALSE,FALSE,TRUE
16,150.1632393,,TRUE,FALSE,FALSE
17,178.4473604,166.8566243,FALSE,FALSE,TRUE
18,160.1099261,152.7275166,FALSE,FALSE,TRUE
19,106.102767,87.21564593,FALSE,FALSE,TRUE
20,167.0274651,185.8928735,FALSE,TRUE,FALSE
21,151.5897823,856.6172492,TRUE,TRUE,TRUE
22,171.7227438,94.71755169,FALSE,FALSE,TRUE
23,101.8630972,127.9523071,FALSE,FALSE,TRUE
24,60.60851331,138.243564,FALSE,TRUE,FALSE
25,98.86487028,133.5368702,FALSE,FALSE,TRUE
26,131.7479375,137.0339496,FALSE,FALSE,TRUE
27,159.2812486,180.8843738,FALSE,FALSE,TRUE
28,112.124873,144.6616283,FALSE,FALSE,TRUE
29,119.2884966,93.03476075,FALSE,FALSE,TRUE
30,113.9053097,,TRUE,FALSE,FALSE
31,133.8494831,139.0900036,FALSE,FALSE,TRUE
32,201.9986241,146.5239935,FALSE,TRUE,FALSE
33,143.7357332,1429.407459,TRUE,TRUE,TRUE
34,105.985245,,TRUE,FALSE,FALSE
35,137.1190178,1023.806226,TRUE,TRUE,TRUE
36,131.9780842,108.65443,FALSE,FALSE,TRUE
37,103.8514798,707.8155058,TRUE,TRUE,TRUE
38,164.1138106,630.4492599,TRUE,TRUE,TRUE
39,97.77070809,101.0911402,FALSE,FALSE,TRUE
40,120.368213,138.7749569,FALSE,FALSE,TRUE
41,134.2282433,84.26328287,FALSE,FALSE,TRUE
42,125.2136005,126.663593,FALSE,FALSE,TRUE
43,168.4937218,1473.611945,TRUE,TRUE,TRUE
44,155.5182334,106.3028636,FALSE,FALSE,TRUE
45,100.6245621,180.5708159,FALSE,FALSE,TRUE
46,124.2197162,137.7935396,FALSE,FALSE,TRUE
47,163.6271395,384.7711511,TRUE,TRUE,TRUE
48,136.9676552,124.0312378,FALSE,FALSE,TRUE
49,127.5781166,190.8746192,FALSE,FALSE,TRUE
50,85.62427989,119.1420088,FALSE,FALSE,TRUE
