,Mystery_Data_X,Mystery_Data_Y,Modified,Model,CHECKING
0,143.2929534,127.93978,FALSE,FALSE,TRUE
1,80.52398102,81.89121582,FALSE,FALSE,TRUE
2,98.70322161,168.490227,FALSE,FALSE,TRUE
3,129.8619415,117.8174544,FALSE,FALSE,TRUE
4,80.65851737,365.9776814,TRUE,TRUE,TRUE
5,120.3879215,,TRUE,TRUE,TRUE
6,128.7353392,127.886463,FALSE,FALSE,TRUE
7,112.3966681,142.1604463,FALSE,FALSE,TRUE
8,140.698051,732.1041524,TRUE,TRUE,TRUE
9,103.2342518,777.2654533,TRUE,TRUE,TRUE
10,106.29866,1607.272456,TRUE,TRUE,TRUE
11,124.5667182,105.8223725,FALSE,FALSE,TRUE
12,143.7234843,43.81099866,FALSE,FALSE,TRUE
13,170.3336903,126.277262,FALSE,FALSE,TRUE
14,138.3277175,1065.074022,TRUE,TRUE,TRUE
15,137.682888,85.90939335,FALSE,FALSE,TRUE
16,104.2126189,121.6912315,FALSE,FALSE,TRUE
17,108.7899613,146.010884,FALSE,FALSE,TRUE
18,179.2363632,142.0043151,FALSE,FALSE,TRUE
19,176.4898224,755.5367293,TRUE,TRUE,TRUE
20,66.49382131,689.9004945,TRUE,TRUE,TRUE
21,157.2749363,110.2482591,FALSE,FALSE,TRUE
22,111.844439,170.6156384,FALSE,FALSE,TRUE
23,150.3421015,92.04172246,FALSE,FALSE,TRUE
24,106.2286234,153.2491405,FALSE,FALSE,TRUE
25,105.4904804,119.8776047,FALSE,FALSE,TRUE
26,99.58297884,195.3180219,FALSE,FALSE,TRUE
27,88.27519264,157.4058466,FALSE,FALSE,TRUE
28,113.6642706,60.01840165,FALSE,FALSE,TRUE
29,39.83119908,697.8948602,TRUE,TRUE,TRUE
30,120.4512506,126.7374209,FALSE,FALSE,TRUE
31,72.6569815,563.8067005,TRUE,TRUE,TRUE
32,134.6985554,799.9871186,TRUE,TRUE,TRUE
33,129.6863476,,TRUE,TRUE,TRUE
34,136.2439422,1391.926824,TRUE,TRUE,TRUE
35,132.8868282,554.2563974,TRUE,TRUE,TRUE
36,64.71454612,68.24051328,FALSE,FALSE,TRUE
37,126.7631274,716.8592638,TRUE,TRUE,TRUE
38,136.4094355,119.2291499,FALSE,FALSE,TRUE
39,112.6306131,,TRUE,TRUE,TRUE
40,122.9662497,115.9409196,FALSE,FALSE,TRUE
41,138.8094707,113.6483277,FALSE,FALSE,TRUE
42,111.5170826,631.2618959,TRUE,TRUE,TRUE
43,152.6069575,434.5140534,TRUE,TRUE,TRUE
44,146.929529,352.3095746,TRUE,TRUE,TRUE
45,135.4841454,494.0137757,TRUE,TRUE,TRUE
46,143.9908202,133.4518938,FALSE,FALSE,TRUE
47,90.28810538,88.58771415,FALSE,FALSE,TRUE
48,106.7554535,109.8705766,FALSE,FALSE,TRUE
49,110.5865198,110.7241449,FALSE,FALSE,TRUE
50,128.4187352,94.49693999,FALSE,FALSE,TRUE
51,151.5379427,97.26662899,FALSE,FALSE,TRUE
52,137.8045064,909.1180327,TRUE,TRUE,TRUE
53,121.8131175,,TRUE,TRUE,TRUE
54,98.78487872,96.87393651,FALSE,FALSE,TRUE
55,122.6487717,97.7616725,FALSE,FALSE,TRUE
56,122.0335759,387.5470149,TRUE,TRUE,TRUE
57,99.48615834,,TRUE,TRUE,TRUE
58,99.46965284,376.1404468,TRUE,TRUE,TRUE
59,91.25236129,,TRUE,TRUE,TRUE
60,85.99119828,101.9418719,FALSE,FALSE,TRUE
61,124.600002,110.8724507,FALSE,FALSE,TRUE
62,183.7217785,409.7909297,TRUE,TRUE,TRUE
63,126.9504752,104.4424004,FALSE,FALSE,TRUE
64,176.0717355,98.77321534,FALSE,FALSE,TRUE
65,128.9129114,807.7572068,TRUE,TRUE,TRUE
66,32.07168393,126.8951091,FALSE,TRUE,FALSE
67,126.2854777,142.2065841,FALSE,FALSE,TRUE
68,114.8702476,188.1037575,FALSE,FALSE,TRUE
69,114.9722254,106.9490136,FALSE,FALSE,TRUE
70,94.92374667,137.8528356,FALSE,FALSE,TRUE
71,86.8654037,828.9786645,TRUE,TRUE,TRUE
72,157.5079289,545.6894851,TRUE,TRUE,TRUE
73,124.9941007,701.002323,TRUE,TRUE,TRUE
74,135.3307294,1177.669563,TRUE,TRUE,TRUE
75,90.41799185,115.066492,FALSE,FALSE,TRUE
76,128.8478677,126.8189969,FALSE,FALSE,TRUE
77,143.1922636,145.3382666,FALSE,FALSE,TRUE
78,140.975637,,TRUE,TRUE,TRUE
79,168.9109294,577.5441802,TRUE,TRUE,TRUE
80,149.5635859,81.82843587,FALSE,FALSE,TRUE
81,139.5387942,160.5168946,FALSE,FALSE,TRUE
82,94.0306851,971.2293034,TRUE,TRUE,TRUE
83,223.5294935,98.76908056,FALSE,TRUE,FALSE
84,118.819786,66.14320363,FALSE,FALSE,TRUE
85,129.2315734,99.75983917,FALSE,FALSE,TRUE
86,135.2333645,138.3230452,FALSE,FALSE,TRUE
87,127.378332,649.6072403,TRUE,TRUE,TRUE
88,112.1547533,427.7405222,TRUE,TRUE,TRUE
89,76.21741234,98.94687869,FALSE,FALSE,TRUE
90,135.6433006,91.34485348,FALSE,FALSE,TRUE
91,141.9595011,135.3425552,FALSE,FALSE,TRUE
92,80.47545359,,TRUE,TRUE,TRUE
93,124.424754,634.5912869,TRUE,TRUE,TRUE
94,152.3765584,129.1668665,FALSE,FALSE,TRUE
95,76.08171631,115.1760895,FALSE,FALSE,TRUE
96,121.5850632,,TRUE,TRUE,TRUE
97,102.0288648,109.2795986,FALSE,FALSE,TRUE
98,123.6181588,126.9584578,FALSE,FALSE,TRUE
99,140.5118672,462.2880661,TRUE,TRUE,TRUE
100,123.0086152,134.7025837,FALSE,FALSE,TRUE
101,174.018033,76.06790408,FALSE,FALSE,TRUE
102,138.5348261,193.9935618,FALSE,FALSE,TRUE
103,170.4262461,990.7940339,TRUE,TRUE,TRUE
104,157.523614,1379.663122,TRUE,TRUE,TRUE
105,91.13711774,206.0585049,FALSE,FALSE,TRUE
106,137.4265556,311.6688591,TRUE,FALSE,FALSE
107,82.61743017,,TRUE,TRUE,TRUE
108,149.9625765,,TRUE,TRUE,TRUE
109,159.1592652,145.432764,FALSE,FALSE,TRUE
110,107.0523393,186.6630752,FALSE,FALSE,TRUE
111,146.6367916,110.582812,FALSE,FALSE,TRUE
112,113.1806079,767.5478458,TRUE,TRUE,TRUE
113,149.2071431,120.1457917,FALSE,FALSE,TRUE
114,121.7495854,839.7946931,TRUE,TRUE,TRUE
115,115.3286258,113.9114074,FALSE,FALSE,TRUE
116,192.4648814,90.35632654,FALSE,TRUE,FALSE
117,114.9540739,,TRUE,TRUE,TRUE
118,185.9118585,628.2998072,TRUE,TRUE,TRUE
119,112.5051456,2400.446104,TRUE,TRUE,TRUE
120,174.1446336,98.33023685,FALSE,FALSE,TRUE
121,77.27670373,141.190057,FALSE,FALSE,TRUE
122,84.70214195,786.1407197,TRUE,TRUE,TRUE
123,115.464777,982.9096889,TRUE,TRUE,TRUE
124,127.1073262,417.2553796,TRUE,TRUE,TRUE
125,140.4442988,983.9064248,TRUE,TRUE,TRUE
126,96.41674854,97.86539052,FALSE,FALSE,TRUE
127,158.5530994,142.7423086,FALSE,FALSE,TRUE
128,154.543642,88.07174694,FALSE,FALSE,TRUE
129,172.4502709,66.48782779,FALSE,FALSE,TRUE
130,102.5081182,180.757082,FALSE,FALSE,TRUE
131,118.8550349,69.64587353,FALSE,FALSE,TRUE
132,108.4069238,107.2243043,FALSE,FALSE,TRUE
133,87.33511564,448.1192836,TRUE,TRUE,TRUE
134,144.7891324,169.3406269,FALSE,FALSE,TRUE
