,Mystery_Data_X,Mystery_Data_Y,Modified,Model
0,160.4982333,1555.02488,TRUE,TRUE
1,183.1594673,764.843976,TRUE,TRUE
2,138.6097081,129.5020649,FALSE,FALSE
3,122.5108218,737.2606823,TRUE,TRUE
4,160.2391875,1135.530483,TRUE,TRUE
5,134.9062184,475.5092153,TRUE,TRUE
6,107.0995427,889.6526493,TRUE,FALSE
7,140.9677313,127.9742781,FALSE,FALSE
8,147.7247941,145.0836487,FALSE,FALSE
9,160.6671602,,TRUE,FALSE
10,150.5097557,503.791678,TRUE,TRUE
11,124.2988639,654.5551584,TRUE,TRUE
12,124.9817985,107.2172587,FALSE,FALSE
13,106.7428555,129.2742735,FALSE,FALSE
14,183.5315151,185.895182,FALSE,FALSE
15,176.1222905,154.4110859,FALSE,FALSE
16,150.1632393,93.74622529,FALSE,FALSE
17,178.4473604,166.8566243,FALSE,FALSE
18,160.1099261,152.7275166,FALSE,FALSE
19,106.102767,87.21564593,FALSE,FALSE
20,167.0274651,185.8928735,FALSE,FALSE
21,151.5897823,125.6172492,FALSE,FALSE
22,171.7227438,94.71755169,FALSE,FALSE
23,101.8630972,127.9523071,FALSE,FALSE
24,60.60851331,535.243564,TRUE,TRUE
25,98.86487028,1294.53687,TRUE,TRUE
26,131.7479375,137.0339496,FALSE,FALSE
27,159.2812486,379.8843738,TRUE,TRUE
28,112.124873,1646.661628,TRUE,TRUE
29,119.2884966,93.03476075,FALSE,FALSE
30,113.9053097,167.6822802,FALSE,FALSE
31,133.8494831,139.0900036,FALSE,FALSE
32,201.9986241,1091.523994,TRUE,TRUE
33,143.7357332,986.4074588,TRUE,TRUE
34,105.985245,,TRUE,FALSE
35,137.1190178,169.8062256,FALSE,FALSE
36,131.9780842,108.65443,FALSE,FALSE
37,103.8514798,408.8155058,TRUE,TRUE
38,164.1138106,,TRUE,FALSE
39,97.77070809,431.0911402,TRUE,TRUE
40,120.368213,138.7749569,FALSE,FALSE
41,134.2282433,84.26328287,FALSE,FALSE
42,125.2136005,126.663593,FALSE,FALSE
43,168.4937218,,TRUE,FALSE
44,155.5182334,955.3028636,TRUE,FALSE
45,100.6245621,180.5708159,FALSE,FALSE
46,124.2197162,732.7935396,TRUE,TRUE
47,163.6271395,121.7711511,FALSE,FALSE
48,136.9676552,124.0312378,FALSE,FALSE
49,127.5781166,486.8746192,TRUE,TRUE
50,85.62427989,119.1420088,FALSE,FALSE
51,120.4901199,972.0892862,TRUE,FALSE
52,97.61554157,164.2434627,FALSE,FALSE
53,116.8012,101.867144,FALSE,FALSE
54,144.9758762,2032.098902,TRUE,TRUE
55,98.91938395,502.2897308,TRUE,TRUE
56,130.9130501,105.5409876,FALSE,FALSE
57,163.3162374,766.5426766,TRUE,TRUE
58,164.2751007,157.9434316,FALSE,FALSE
59,137.2579509,,TRUE,FALSE
60,107.2627086,110.0709808,FALSE,FALSE
61,115.185207,159.8833664,FALSE,FALSE
62,118.3067957,744.4556047,TRUE,TRUE
63,130.8932272,2287.33471,TRUE,TRUE
64,112.3995554,,TRUE,FALSE
65,130.5458903,1094.963889,TRUE,TRUE
66,144.0454458,175.2111143,FALSE,FALSE
67,155.5843417,943.4679998,TRUE,FALSE
68,126.6471607,173.0896441,FALSE,FALSE
69,175.6963025,432.0535166,TRUE,TRUE
70,104.2397378,1814.238165,TRUE,TRUE
71,109.1618567,123.1203366,FALSE,FALSE
72,175.0351129,139.116892,FALSE,FALSE
73,171.5480917,137.955008,FALSE,FALSE
74,177.9996352,,TRUE,FALSE
75,116.0942818,800.1835049,TRUE,TRUE
76,129.0087312,119.0295199,FALSE,FALSE
77,143.9258939,448.1138703,TRUE,TRUE
78,104.7813502,1644.76495,TRUE,TRUE
79,98.33650692,156.9914788,FALSE,FALSE
80,125.072499,874.7989372,TRUE,TRUE
81,149.7254341,961.3587315,TRUE,FALSE
82,128.7631089,,TRUE,FALSE
83,109.2183705,1071.361675,TRUE,TRUE
84,147.0801398,563.8067992,TRUE,TRUE
85,146.1232311,137.1517106,FALSE,FALSE
86,131.7009791,89.60520937,FALSE,FALSE
87,155.5992755,,TRUE,FALSE
88,102.2823728,182.7738505,FALSE,FALSE
89,117.0666289,147.6599641,FALSE,FALSE
90,124.2925309,160.2604243,FALSE,FALSE
91,93.33451177,999.6923272,TRUE,FALSE
92,125.2362296,167.4341543,FALSE,FALSE
93,130.2349424,625.0450121,TRUE,TRUE
94,135.2181275,128.9902415,FALSE,FALSE
95,141.7779799,115.2115463,FALSE,FALSE
96,134.1479359,116.9349056,FALSE,FALSE
97,129.9926012,178.7632664,FALSE,FALSE
98,145.5279977,335.6427533,TRUE,TRUE
99,121.8872426,634.1389163,TRUE,TRUE
100,91.11889092,124.3541377,FALSE,FALSE
101,122.5106089,952.9251501,TRUE,FALSE
102,189.0015044,167.0398991,FALSE,FALSE
103,147.1954869,118.1679905,FALSE,FALSE
104,58.07307398,600.8510294,TRUE,TRUE
105,143.0323718,1448.796512,TRUE,TRUE
106,145.9997082,94.6624422,FALSE,FALSE
107,168.1527883,135.4788538,FALSE,FALSE
108,169.3974652,789.0827129,TRUE,TRUE
109,164.7688242,145.4608236,FALSE,FALSE
110,115.8248024,1260.756849,TRUE,TRUE
111,144.4930037,146.0648465,FALSE,FALSE
112,108.8362708,1602.630824,TRUE,TRUE
113,123.0269265,495.154036,TRUE,TRUE
114,175.7298029,,TRUE,FALSE
115,149.4583812,141.8074613,FALSE,FALSE
116,99.88262098,110.9000879,FALSE,FALSE
117,122.4516371,1438.920026,TRUE,TRUE
118,133.3716237,,TRUE,FALSE
119,69.44991877,,TRUE,FALSE
120,107.2183126,,TRUE,FALSE
121,171.8570692,227.5740075,FALSE,TRUE
122,91.53496767,94.70300347,FALSE,FALSE
123,116.4793768,148.014112,FALSE,FALSE
124,119.0552275,155.9789736,FALSE,FALSE
125,95.68777082,128.5408766,FALSE,FALSE
126,130.3043646,695.2541781,TRUE,TRUE
127,105.9691566,106.7282066,FALSE,FALSE
128,138.5177476,562.3352839,TRUE,TRUE
129,151.3485123,560.158064,TRUE,TRUE
130,105.8925963,85.48926167,FALSE,FALSE
131,137.9810313,579.9412276,TRUE,TRUE
132,144.9090395,87.47502726,FALSE,FALSE
133,199.9016938,1425.67732,TRUE,TRUE
134,154.5372383,1812.864905,TRUE,TRUE
135,120.392129,172.4315458,FALSE,FALSE
136,188.5472134,,TRUE,FALSE
137,178.3880352,121.7873329,FALSE,FALSE
138,160.2391929,,TRUE,FALSE
139,159.6451233,499.4366734,TRUE,TRUE
140,170.1280786,74.50002482,FALSE,TRUE
141,115.5511906,108.8437619,FALSE,FALSE
142,130.2863503,817.5690712,TRUE,TRUE
143,146.2659118,160.7928542,FALSE,FALSE
144,141.0621214,142.0734999,FALSE,FALSE
145,97.05353197,90.13683171,FALSE,FALSE
146,142.3123309,,TRUE,FALSE
147,125.8431932,450.2559046,TRUE,TRUE
148,165.2579998,,TRUE,FALSE
149,127.7913175,845.4292035,TRUE,TRUE
150,156.479082,2605.515024,TRUE,TRUE
151,153.8193027,155.1336695,FALSE,FALSE
152,146.7297197,676.4220513,TRUE,TRUE
153,120.9927609,700.4675637,TRUE,TRUE
154,146.5090723,172.080087,FALSE,FALSE
155,119.2246957,597.2614333,TRUE,TRUE
156,75.7201795,147.3872439,FALSE,FALSE
157,185.0892039,563.921308,TRUE,TRUE
158,152.8866521,1070.129987,TRUE,TRUE
159,143.6544009,,TRUE,FALSE
160,152.0679139,117.9112501,FALSE,FALSE
161,93.29824685,169.0979144,FALSE,FALSE
162,101.4183968,159.4373346,FALSE,FALSE
163,131.5432458,,TRUE,FALSE
164,127.9208572,127.3089568,FALSE,FALSE
165,139.1145738,1019.736567,TRUE,FALSE
166,110.7022622,1280.055715,TRUE,TRUE
167,116.776437,612.2636396,TRUE,TRUE
168,109.0550585,120.3147453,FALSE,FALSE
169,154.0043355,608.4795107,TRUE,TRUE
170,128.503446,343.4678974,TRUE,TRUE
171,111.5357032,2359.488146,TRUE,TRUE
172,154.9981088,168.4464112,FALSE,FALSE
173,89.60773235,130.2198136,FALSE,FALSE
174,127.0435169,318.788975,TRUE,TRUE
175,123.6140089,1208.889787,TRUE,TRUE
176,145.6522086,299.8416699,TRUE,TRUE
177,164.0783662,932.412306,TRUE,FALSE
178,94.59170541,98.66365676,FALSE,FALSE
179,113.7183365,1089.982294,TRUE,TRUE
180,116.6941033,652.3964233,TRUE,TRUE
181,138.9074813,116.9933829,FALSE,FALSE
182,135.1883796,172.6720126,FALSE,FALSE
183,109.7982581,,TRUE,FALSE
184,128.248622,131.1053386,FALSE,FALSE
185,72.69514889,,TRUE,FALSE
186,141.156215,557.1861251,TRUE,TRUE
187,124.0296525,1748.09106,TRUE,TRUE
188,109.2218549,116.5354623,FALSE,FALSE
189,153.0308357,1524.006992,TRUE,TRUE
190,195.7162359,837.900507,TRUE,TRUE
191,111.4775394,742.6339879,TRUE,TRUE
192,118.4050229,1007.261084,TRUE,FALSE
193,131.9680917,123.5190625,FALSE,FALSE
194,125.5257363,132.9864795,FALSE,FALSE
195,146.9962678,813.7775451,TRUE,FALSE
196,167.2353495,194.9138189,FALSE,FALSE
197,104.4302165,1020.693318,TRUE,FALSE
198,101.0688999,140.918719,FALSE,FALSE
199,147.952403,,TRUE,FALSE
200,154.7357813,521.7138366,TRUE,TRUE
201,135.0749191,591.1569802,TRUE,TRUE
202,118.7909587,,TRUE,FALSE
203,158.4397639,133.2467452,FALSE,FALSE
204,181.4402267,127.605173,FALSE,FALSE
205,155.0863519,156.6578122,FALSE,FALSE
206,158.1974568,131.4252719,FALSE,FALSE
207,106.0250408,756.6503442,TRUE,TRUE
208,105.2469401,1699.255651,TRUE,TRUE
209,85.59868785,211.5775701,FALSE,TRUE
210,144.6862694,154.7289595,FALSE,FALSE
