,Unnamed: 0,Mystery_Data_X,Mystery_Data_Y,Modified,Index,Model
4147,4147,173.611027,4069.526455,TRUE,4.328085123,TRUE
1417,1417,92.07851654,3574.648275,TRUE,3.795629308,TRUE
5325,5325,148.6827299,3205.783587,TRUE,2.334376796,TRUE
1980,1980,143.8647557,3186.494472,TRUE,2.189697374,TRUE
2790,2790,228.2191164,2948.468562,TRUE,1.484356168,TRUE
9103,9103,68.22555228,2842.372921,TRUE,1.124490615,TRUE
3664,3664,112.6610095,2840.418323,TRUE,1.121363191,TRUE
7207,7207,132.4329759,2806.62703,TRUE,1.064002619,TRUE
2303,2303,160.7580894,2799.669085,TRUE,1.054215324,TRUE
2848,2848,128.1013188,2761.529047,TRUE,1.002882951,TRUE
5908,5908,219.2509236,2756.23176,TRUE,0.998296487,TRUE
7562,7562,92.68476874,2727.115685,TRUE,0.971706499,TRUE
146,146,144.6615336,2699.15631,TRUE,0.959255382,TRUE
2983,2983,131.6072646,2690.444859,TRUE,0.946571197,TRUE
2426,2426,204.444199,2687.34533,TRUE,0.946571197,TRUE
3672,3672,157.9933593,2651.025053,TRUE,0.908943071,TRUE
9014,9014,156.4918544,2614.054274,TRUE,0.891946432,TRUE
4655,4655,221.5901985,2598.969412,TRUE,0.873604548,TRUE
2656,2656,181.9854972,2575.996805,TRUE,0.855992156,TRUE
1851,1851,130.3439109,2554.703229,TRUE,0.853007173,TRUE
3894,3894,94.9366747,2565.802988,TRUE,0.850023902,TRUE
4954,4954,171.511884,2539.470249,TRUE,0.847192102,TRUE
4948,4948,146.4404321,2532.319476,TRUE,0.83819042,TRUE
9458,9458,124.3997563,2526.43376,TRUE,0.828891353,TRUE
590,590,140.2969524,2514.471337,TRUE,0.813532629,TRUE
3158,3158,108.3647846,2507.297355,TRUE,0.810302293,TRUE
6920,6920,201.7284858,2486.195942,TRUE,0.802895839,TRUE
1758,1758,111.6371572,2486.030094,TRUE,0.802895839,TRUE
6245,6245,131.7674511,2482.110091,TRUE,0.801387785,TRUE
5354,5354,161.0147665,2463.588183,TRUE,0.797847103,TRUE
6557,6557,176.4445086,2466.203696,TRUE,0.797190146,TRUE
8169,8169,113.5485543,2447.621285,TRUE,0.786938734,TRUE
267,267,104.5871524,2435.257413,TRUE,0.781588762,TRUE
1600,1600,198.3261561,2428.072612,TRUE,0.780997728,TRUE
9130,9130,125.7026836,2411.40645,TRUE,0.776533555,TRUE
3093,3093,173.9160078,2399.281634,TRUE,0.774070196,TRUE
1622,1622,179.8973208,2402.495772,TRUE,0.770224385,TRUE
9108,9108,123.8350715,2387.740632,TRUE,0.764939992,TRUE
8898,8898,133.4010515,2391.637129,TRUE,0.762524271,TRUE
7607,7607,112.0620989,2390.666536,TRUE,0.761979891,TRUE
9223,9223,87.47292326,2370.741557,TRUE,0.758362408,TRUE
132,132,131.5175409,2346.809384,TRUE,0.745846748,TRUE
2200,2200,107.1090305,2332.914279,TRUE,0.74334398,TRUE
739,739,125.1471056,2325.098813,TRUE,0.733710316,TRUE
150,150,207.1725423,2317.988129,TRUE,0.729442253,TRUE
3767,3767,221.7544641,2311.934961,TRUE,0.72664888,TRUE
4507,4507,137.7065341,2307.008854,TRUE,0.72479463,TRUE
2843,2843,85.28044355,2293.838462,TRUE,0.724048808,TRUE
6525,6525,108.1524053,2288.582808,TRUE,0.722100201,TRUE
4046,4046,139.6228238,2279.228905,TRUE,0.71524444,TRUE
7542,7542,157.6197478,2256.706188,TRUE,0.71174968,TRUE
4289,4289,164.1861974,2268.901312,TRUE,0.71160647,TRUE
140,140,179.9700648,2267.767258,TRUE,0.709211941,TRUE
6952,6952,105.314278,2267.295861,TRUE,0.709211941,TRUE
8643,8643,191.5055308,2238.514515,TRUE,0.691654623,TRUE
7868,7868,132.1644602,2232.418582,TRUE,0.689193678,TRUE
9143,9143,157.3376543,2223.910593,TRUE,0.682572558,TRUE
2436,2436,129.9233755,2224.319665,TRUE,0.682339105,TRUE
2180,2180,156.3989015,2205.21322,TRUE,0.680547266,TRUE
4078,4078,104.3282025,2205.197822,TRUE,0.680547266,TRUE
8688,8688,91.34914959,2217.167893,TRUE,0.68034442,TRUE
8520,8520,168.1613862,2212.470262,TRUE,0.679898381,TRUE
2167,2167,77.74185769,2200.464727,TRUE,0.676852624,TRUE
9920,9920,167.6471784,2198.096107,TRUE,0.67612436,TRUE
7166,7166,144.6359353,2192.465413,TRUE,0.671728838,TRUE
5800,5800,172.5718415,2185.734924,TRUE,0.66952012,TRUE
1767,1767,64.00822914,2159.371697,TRUE,0.65829361,TRUE
2639,2639,134.0810807,2158.135146,TRUE,0.657717227,TRUE
5851,5851,114.2838334,2157.1987,TRUE,0.657530814,TRUE
4265,4265,114.4255626,2137.151125,TRUE,0.655746422,TRUE
6464,6464,136.5723257,2152.917965,TRUE,0.655394616,TRUE
1464,1464,107.1494629,2152.640972,TRUE,0.655215888,TRUE
5820,5820,89.91230219,2143.856311,TRUE,0.654159903,TRUE
3460,3460,128.1805276,2148.665729,TRUE,0.653493501,TRUE
2902,2902,161.9857827,2129.099973,TRUE,0.65057007,TRUE
5882,5882,85.76019832,2127.614708,TRUE,0.649576085,TRUE
5967,5967,173.4500384,2121.134426,TRUE,0.643030479,TRUE
3028,3028,124.2796286,2119.390339,TRUE,0.642239908,TRUE
6568,6568,112.9493492,2118.728269,TRUE,0.641919444,TRUE
4862,4862,99.80290013,2117.707534,TRUE,0.640271012,TRUE
896,896,83.64078329,2116.059699,TRUE,0.638965407,TRUE
9518,9518,100.1019991,2112.704558,TRUE,0.63738109,TRUE
8892,8892,124.7083866,2101.715256,TRUE,0.628204407,TRUE
2759,2759,92.40955422,2101.17091,TRUE,0.628204407,TRUE
6335,6335,157.7434317,2092.39343,TRUE,0.626535412,TRUE
6461,6461,192.9935572,2079.870119,TRUE,0.625010032,TRUE
6458,6458,66.95383269,2077.782552,TRUE,0.623935188,TRUE
8945,8945,149.7060214,2073.589391,TRUE,0.623783246,TRUE
8445,8445,152.3836555,2072.379027,TRUE,0.622982008,TRUE
7715,7715,162.8306494,2070.958297,TRUE,0.621799798,TRUE
8783,8783,152.8571433,2070.563979,TRUE,0.620773726,TRUE
